epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1174.95,1.14469,0.66365,0.98498,0.88316,0.88335,0.93464,0.64748,1.03717,0.56085,0.95388,0.0009605,0.0009605,0.0009605
44,1202.23,1.1066,0.64921,0.97919,0.88387,0.87169,0.92962,0.65529,0.99378,0.56797,0.95283,0.00093575,0.00093575,0.00093575
45,1229.43,1.13653,0.6464,0.97837,0.90351,0.89714,0.94241,0.6615,1.02503,0.5623,0.95142,0.000911,0.000911,0.000911
46,1256.83,1.10399,0.64631,0.97177,0.88104,0.89926,0.93704,0.65272,1.00974,0.56832,0.95466,0.00088625,0.00088625,0.00088625
47,1283.88,1.12983,0.64224,0.97726,0.8815,0.89143,0.93833,0.65611,1.02813,0.5723,0.95148,0.0008615,0.0008615,0.0008615
48,1311.33,1.11921,0.64072,0.96612,0.89087,0.883,0.93744,0.66666,0.99702,0.56175,0.94949,0.00083675,0.00083675,0.00083675
49,1338.43,1.12152,0.634,0.96929,0.90639,0.89335,0.9459,0.67621,0.98884,0.53485,0.94178,0.000812,0.000812,0.000812
50,1366.12,1.13058,0.63891,0.98386,0.90834,0.88277,0.94157,0.67102,0.99391,0.53815,0.94595,0.00078725,0.00078725,0.00078725
51,1393.35,1.11768,0.64439,0.97062,0.89487,0.89608,0.9412,0.66972,0.97715,0.53692,0.94345,0.0007625,0.0007625,0.0007625
52,1420.76,1.10204,0.62718,0.96486,0.91186,0.88862,0.94626,0.67293,0.99909,0.53021,0.94975,0.00073775,0.00073775,0.00073775
53,1447.84,1.07934,0.60713,0.95948,0.91401,0.89077,0.94821,0.67001,1.006,0.52061,0.95307,0.000713,0.000713,0.000713
54,1475.34,1.08023,0.61388,0.96291,0.92373,0.89714,0.94959,0.67816,0.98449,0.52819,0.94116,0.00068825,0.00068825,0.00068825
55,1502.71,1.07422,0.60401,0.95954,0.91182,0.88818,0.94105,0.66935,0.99743,0.51983,0.9394,0.0006635,0.0006635,0.0006635
56,1529.49,1.10334,0.62237,0.96465,0.91711,0.89714,0.94086,0.66273,1.0172,0.5301,0.95983,0.00063875,0.00063875,0.00063875
57,1556.84,1.07584,0.5892,0.96021,0.89135,0.90456,0.9469,0.67466,1.00329,0.52445,0.94968,0.000614,0.000614,0.000614
58,1584.15,1.09174,0.61976,0.96262,0.91975,0.88718,0.95093,0.67299,0.97861,0.51896,0.94685,0.00058925,0.00058925,0.00058925
59,1611.38,1.05317,0.59971,0.94654,0.89954,0.89259,0.94737,0.67066,1.0117,0.5309,0.94609,0.0005645,0.0005645,0.0005645
60,1638.86,1.08501,0.60318,0.96601,0.91125,0.88547,0.9408,0.67331,0.95732,0.52344,0.94047,0.00053975,0.00053975,0.00053975
61,1666.09,1.06235,0.58352,0.9566,0.91414,0.89198,0.94493,0.68229,0.96987,0.51309,0.942,0.000515,0.000515,0.000515
62,1693.61,1.00874,0.57775,0.94809,0.90747,0.8982,0.94115,0.67406,0.95951,0.51662,0.93711,0.00049025,0.00049025,0.00049025
